asin,source_file,review_count,avg_rating,positive_4_5,neutral_3,negative_1_2,verified_purchase_count,vine_count,reviews_with_images,reviews_with_video,top_topics
B008A4AG2U,B008A4AG2U-US-Reviews-260420-449895.xlsx,19,3.21,11,0,8,15,0,2,0,氯味/泳池味降低:9;皮肤/头发表现改善:9;安装/适配/出水口兼容:9;易用/方便/推荐:8;婴幼儿/儿童/敏感肌使用场景:7
B0742KFY9R,B0742KFY9R-US-Reviews-260420-449581.xlsx,456,3.32,249,38,169,435,0,69,16,安装/适配/出水口兼容:168;易用/方便/推荐:157;皮肤/头发表现改善:142;氯味/泳池味降低:90;婴幼儿/儿童/敏感肌使用场景:89
B0CXT5KL5Z,B0CXT5KL5Z-US-Reviews-260420-447521.xlsx,356,4.70,329,3,24,247,6,17,2,易用/方便/推荐:177;皮肤/头发表现改善:149;安装/适配/出水口兼容:143;氯味/泳池味降低:37;婴幼儿/儿童/敏感肌使用场景:26
B0D3X39378,B0D3X39378-US-Reviews-260420-449410.xlsx,1410,4.53,1232,14,164,979,3,91,13,易用/方便/推荐:970;皮肤/头发表现改善:968;安装/适配/出水口兼容:859;婴幼儿/儿童/敏感肌使用场景:405;氯味/泳池味降低:338
B0DTQ8H23D,B0DTQ8H23D-US-Reviews-260420-449792.xlsx,76,3.55,45,14,17,36,29,9,1,安装/适配/出水口兼容:42;易用/方便/推荐:38;皮肤/头发表现改善:28;婴幼儿/儿童/敏感肌使用场景:23;氯味/泳池味降低:20
B0FL24SLM5,B0FL24SLM5-US-Reviews-260420-449977.xlsx,90,4.74,85,0,5,34,24,17,2,皮肤/头发表现改善:52;易用/方便/推荐:51;安装/适配/出水口兼容:48;氯味/泳池味降低:25;婴幼儿/儿童/敏感肌使用场景:15
B0FT7R9ZQ9,B0FT7R9ZQ9-US-Reviews-260420-449726.xlsx,47,4.62,43,0,4,21,23,11,6,皮肤/头发表现改善:33;安装/适配/出水口兼容:33;易用/方便/推荐:30;氯味/泳池味降低:16;婴幼儿/儿童/敏感肌使用场景:12
B0G5NZBW6W,B0G5NZBW6W-US-Reviews-260420-449932.xlsx,69,4.33,61,1,7,41,20,27,4,易用/方便/推荐:42;皮肤/头发表现改善:37;安装/适配/出水口兼容:36;氯味/泳池味降低:20;流量/注水速度/溢流/飞溅:16
B0GFQ1JRSK,B0GFQ1JRSK-US-Reviews-260420-449360.xlsx,26,4.19,20,4,2,10,14,7,1,易用/方便/推荐:25;安装/适配/出水口兼容:20;皮肤/头发表现改善:18;婴幼儿/儿童/敏感肌使用场景:16;流量/注水速度/溢流/飞溅:13
B0GKT5CHYL,B0GKT5CHYL-US-Reviews-260420-450045.xlsx,13,4.38,11,2,0,0,13,7,0,安装/适配/出水口兼容:8;易用/方便/推荐:8;皮肤/头发表现改善:6;婴幼儿/儿童/敏感肌使用场景:5;滤芯更换/寿命/复购:3
